HORESE_NAME,HORESE_GENDER,HORESE_AGE,STALLION_NUMBER,HORESE_WEIGHT,TRAINER＿NUMBER
ウインブライト,牡,6,14,484,畠山吉宏
ステイフーリッシュ,牡,5,14,466,矢作芳人
タニノフランケル,牡,5,42,528,角居勝彦
アドマイヤリード,牝,6,14,430,須貝尚介
タイムフライヤー,牡,5,3,482,松田国英
マイネルサージュ,牡,7,13,502,鹿戸雄一
エアアンセム,牡,8,53,498,吉村圭司
ランガディア,牡,5,5,480,木村哲也
サンマルティン,せ,7,13,508,国枝栄
ブラックバゴ,牡,8,21,532,佐野謙二
マイネルハニー,牡,7,39,482,栗田徹
マウントゴールド,牡,6,14,452,池江泰寿
コズミックフォース,牡,4,5,480,国枝栄
ナスノセイカン,牡,7,3,486,矢野英一
ストロングタイタン,牡,7,251,548,池江泰寿
ヤングマンパワー,牡,7,252,534,手塚貴久
パクスアメリカーナ,牡,4,17,462,中内田充正
マイスタイル,牡,6,3,458,昆貢
ミエノサクシード,牝,6,14,474,高橋亮
アドマイヤアルバ,せ,5,3,480,宮田敬介
ヒーズインラブ,牡,6,13,528,藤岡健一
グァンチャーレ,牡,7,15,480,北出成人
サラキア,牝,5,1,448,池添学
カツジ,牡,5,1,500,池添兼雄
ゴールドサーベラス,牡,8,15,454,清水英克
スマートオーディン,牡,7,61,502,池江泰寿
トゥラヴェスーラ,牡,5,34,476,高橋康之
リライアブルエース,牡,6,1,496,矢作芳人
ロードクエスト,牡,7,39,462,小島茂之
ツーエムマイスター,牡,7,41,456,本田優
ストーミーシー,牡,7,38,558,斎藤誠
アサクサゲンキ,牡,4,253,470,音無秀孝
バリス,牡,8,14,504,鈴木孝志
ヴァルディゼール,牡,4,2,462,渡辺薫彦
マイネルフラップ,牡,4,18,488,梅田智之
ミッキーブリランテ,牡,4,26,478,矢作芳人
パッシングスルー,牝,4,6,492,黒岩陽一
ハッピーアワー,牡,4,13,442,武幸四郎
ミヤケ,牡,3,26,472,村山明
ゴータイミング,牡,3,1,448,松永幹夫
アントリューズ,牡,3,2,496,栗田徹
ドナウデルタ,牝,4,2,448,石坂正
コパノマーティン,牡,3,15,486,村山明
シャドウエンペラー,牡,3,254,480,岡田稲男
ニホンピロヘンソン,せ,3,6,452,安達昭夫
フィリアプーラ,牝,4,13,450,菊沢隆徳
ホウオウカトリーヌ,牝,3,39,476,栗田徹
グレイスアン,牝,3,26,486,斎藤誠
エフティイーリス,牝,3,6,448,金成貴史
アクアミラビリス,牝,3,18,416,吉村圭司
サンタンデール,牝,3,69,434,岩戸孝樹
レディードリー,牝,3,11,442,伊藤正徳
チビラーサン,牝,3,89,436,中舘英二
スカイシアター,牝,3,18,416,高柳瑞樹
アゴベイ,牝,3,3,440,尾関知人
プリミエラムール,牝,3,33,438,田島俊明
セントセシリア,牝,3,13,382,矢作芳人
レーヴドカナロア,牝,3,2,432,斉藤崇史
ウィンターリリー,牝,3,51,438,岩戸孝樹
メイプルガーデン,牝,3,66,478,高市圭二
アマーティ,牝,3,6,480,武井亮
グローリーヴェイズ,牡,5,1,464,尾関知人
ルックトゥワイス,牡,6,14,440,藤原英昭
シュペルミエール,牡,6,14,504,木村哲也
ノーブルマーズ,牡,7,50,498,宮本博
エーティーサンダー,牡,6,31,528,湯窪幸雄
ムイトオブリガード,牡,6,6,506,角田晃一
ケントオー,牡,7,139,460,西橋豊治
ダッシングブレイズ,牡,7,255,500,斉藤崇史
メイショウテッコン,牡,4,31,508,高橋義忠
サラス,牝,5,4,536,西村真幸
ウインテンダネス,牡,7,155,512,杉山晴紀
マサハヤドリーム,牡,7,49,476,今野貞一
ロードヴァンドール,牡,7,7,508,昆貢
アイトーン,牡,4,35,480,五十嵐忠男
アフリカンゴールド,せ,5,14,466,西園正都
ガンコ,牡,7,85,510,武英智
ラストドラフト,牡,4,24,462,戸田博文
ランフォザローゼス,牡,4,5,504,藤沢和雄
ヒンドゥタイムズ,牡,4,13,470,斉藤崇史
