RACE_NUMBER,RACEORDER_NUMBER,HORESE_NAME,ADD_WEIGHT,JOCKEY_NUMBER,RACE_TIME,MARGIN,FRAME_NUMBER,HORESE_NUMBER,ENDUP,HORESE_AGE,HORESE_WEIGHT,H_WEIGHT_INDECREASE
1,16,ヤングマンパワー,57,42,02:01.3,"
",5黄,10,37.1,7,540,0
1,15,ストロングタイタン,57,19,02:00.5,"
      クビ",5黄,9,36.4,6,542,0
1,14,ナスノセイカン,55,183,02:00.3,"
      クビ",7橙,13,35.8,7,486,0
1,13,コズミックフォース,56,17,01:59.9,"
      ２ 1/2",2黒,3,36.1,4,480,0
1,12,マウントゴールド,56,20,01:59.7,"
      １／２",4青,8,35.3,6,452,0
1,11,マイネルハニー,57,64,01:59.5,"
      同着",4青,7,34.9,6,476,0
1,10,ブラックバゴ,56,12,01:59.5,"
      アタマ",7橙,14,34.8,7,528,0
1,9,サンマルティン,56,166,01:59.5,"
      １ 1/2",3赤,5,35.1,7,502,0
1,8,ランガディア,54,27,01:59.5,"
      クビ",2黒,4,35.4,5,480,0
1,7,エアアンセム,57,13,01:59.4,"
      クビ",3赤,6,34.8,8,496,0
1,6,マイネルサージュ,56,29,01:59.4,"
      ３",8桃,16,34.9,7,516,0
1,5,タイムフライヤー,56,14,01:59.4,"
      １／２",6緑,12,35.3,4,464,0
1,4,アドマイヤリード,56,41,01:59.3,"
      ２",1白,2,35.2,6,430,0
1,3,タニノフランケル,53,32,01:59.3,"
      １",1白,1,35.6,4,528,0
1,2,ステイフーリッシュ,56,24,01:59.3,"
      ７",8桃,15,35.4,4,456,0
1,1,ウインブライト,58,137,01:59.2,"
",6緑,11,34.9,5,490,0
2,17,バリス,52,85,01:36.1,"
",3赤,5,35.2,8,504,0
2,16,アサクサゲンキ,54,28,01:35.9,"
",7橙,13,36.1,4,470,0
2,15,ストーミーシー,54,5,01:35.5,"
      １ 3/4",1白,1,35.3,6,534,0
2,14,ツーエムマイスター,52,164,01:35.5,"
      クビ",8桃,16,35.8,7,468,0
2,13,ロードクエスト,57,3,01:35.4,"
      クビ",8桃,17,34.7,6,460,0
2,12,リライアブルエース,54,38,01:35.4,"
      クビ",5黄,10,35.1,6,510,0
2,11,トゥラヴェスーラ,53,26,01:35.3,"
      アタマ",6緑,11,35.2,4,488,0
2,10,スマートオーディン,57,100,01:35.3,"
      ハナ",5黄,9,34.3,6,506,0
2,9,ゴールドサーベラス,54,97,01:35.3,"
      同着",7橙,14,34.4,7,450,0
2,8,カツジ,56,4,01:35.3,"
      １ 1/2",2黒,3,34.7,4,494,0
2,7,サラキア,53,31,01:35.3,"
      アタマ",1白,2,35,4,440,0
2,6,グァンチャーレ,56.5,72,01:35.2,"
      １ 3/4",2黒,4,35.2,7,478,0
2,5,ヒーズインラブ,56.5,25,01:35.2,"
      ハナ",4青,8,35,6,536,0
2,4,アドマイヤアルバ,54,23,01:35.2,"
      クビ",3赤,6,34.7,4,478,0
2,3,ミエノサクシード,54,104,01:35.1,"
      ３",4青,7,34.8,6,462,0
2,2,マイスタイル,56,78,01:35.0,"
      ハナ",8桃,15,35,5,456,0
2,1,パクスアメリカーナ,55,2,01:34.9,"
      ３ 1/2",6緑,12,34.8,4,470,0
3,12,ニホンピロヘンソン,56,26,01:37.5,"
      １／２",6緑,7,37.5,3,474,0
3,11,シャドウエンペラー,56,14,01:37.3,"
      １ 1/2",8桃,11,37.2,3,480,0
3,10,コパノマーティン,56,25,01:36.7,"
      クビ",8桃,12,36.9,3,484,0
