,id,RACEORDER_NUMBER,HORSE_NAME,JOCKEY_NUMBER,RACE_TIME
0,1,16,ヤングマンパワー,42,00:02:01.300000
1,2,15,ストロングタイタン,19,00:02:00.500000
2,3,14,ナスノセイカン,183,00:02:00.300000
3,4,13,コズミックフォース,17,00:01:59.900000
4,5,12,マウントゴールド,20,00:01:59.700000
5,6,11,マイネルハニー,64,00:01:59.500000
6,7,10,ブラックバゴ,12,00:01:59.500000
7,8,9,サンマルティン,166,00:01:59.500000
8,9,8,ランガディア,27,00:01:59.500000
9,10,7,エアアンセム,13,00:01:59.400000
10,11,6,マイネルサージュ,29,00:01:59.400000
11,12,5,タイムフライヤー,14,00:01:59.400000
12,13,4,アドマイヤリード,41,00:01:59.300000
13,14,3,タニノフランケル,32,00:01:59.300000
14,15,2,ステイフーリッシュ,24,00:01:59.300000
15,16,1,ウインブライト,137,00:01:59.200000
16,17,17,バリス,85,00:01:36.100000
17,18,16,アサクサゲンキ,28,00:01:35.900000
18,19,15,ストーミーシー,5,00:01:35.500000
19,20,14,ツーエムマイスター,164,00:01:35.500000
20,21,13,ロードクエスト,3,00:01:35.400000
21,22,12,リライアブルエース,38,00:01:35.400000
22,23,11,トゥラヴェスーラ,26,00:01:35.300000
23,24,10,スマートオーディン,100,00:01:35.300000
24,25,9,ゴールドサーベラス,97,00:01:35.300000
25,26,8,カツジ,4,00:01:35.300000
26,27,7,サラキア,31,00:01:35.300000
27,28,6,グァンチャーレ,72,00:01:35.200000
28,29,5,ヒーズインラブ,25,00:01:35.200000
29,30,4,アドマイヤアルバ,23,00:01:35.200000
30,31,3,ミエノサクシード,104,00:01:35.100000
31,32,2,マイスタイル,78,00:01:35
32,33,1,パクスアメリカーナ,2,00:01:34.900000
33,34,12,ニホンピロヘンソン,26,00:01:37.500000
34,35,11,シャドウエンペラー,14,00:01:37.300000
35,36,10,コパノマーティン,25,00:01:36.700000
36,37,9,ドナウデルタ,3,00:01:36.700000
37,38,8,アントリューズ,2,00:01:36.500000
38,39,7,ゴータイミング,20,00:01:36.300000
39,40,6,ミヤケ,4,00:01:36.300000
40,41,5,ハッピーアワー,100,00:01:36.100000
41,42,4,パッシングスルー,31,00:01:36.100000
42,43,3,ミッキーブリランテ,38,00:01:35.900000
43,44,2,マイネルフラップ,5,00:01:35.700000
44,45,1,ヴァルディゼール,37,00:01:35.700000
45,46,16,アマーティ,21,00:01:43.800000
46,47,15,メイプルガーデン,73,00:01:37.300000
47,48,14,ウィンターリリー,49,00:01:36.800000
48,49,13,レーヴドカナロア,183,00:01:36.800000
49,50,12,セントセシリア,153,00:01:36.600000
50,51,11,プリミエラムール,52,00:01:36.500000
51,52,10,アゴベイ,27,00:01:36.300000
52,53,9,スカイシアター,11,00:01:36.200000
53,54,8,チビラーサン,13,00:01:36.200000
54,55,7,レディードリー,43,00:01:36.200000
55,56,6,サンタンデール,36,00:01:36.200000
56,57,5,アクアミラビリス,16,00:01:36.200000
57,58,4,エフティイーリス,99,00:01:36.200000
58,59,3,グレイスアン,12,00:01:36.100000
59,60,2,ホウオウカトリーヌ,19,00:01:36
60,61,1,フィリアプーラ,42,00:01:36
61,62,16,ガンコ,24,00:02:30.200000
62,63,15,アフリカンゴールド,159,00:02:29.300000
63,64,14,アイトーン,74,00:02:29.300000
64,65,13,ロードヴァンドール,41,00:02:29.200000
65,66,12,マサハヤドリーム,37,00:02:28.900000
66,67,11,ウインテンダネス,32,00:02:28.500000
67,68,10,サラス,28,00:02:28.100000
68,69,9,メイショウテッコン,20,00:02:27.100000
69,70,8,ダッシングブレイズ,3,00:02:27.100000
70,71,7,ケントオー,14,00:02:26.600000
71,72,6,ムイトオブリガード,2,00:02:26.600000
72,73,5,エーティーサンダー,85,00:02:26.500000
73,74,4,ノーブルマーズ,68,00:02:26.400000
74,75,3,シュペルミエール,27,00:02:26.400000
75,76,2,ルックトゥワイス,23,00:02:26.300000
76,77,1,グローリーヴェイズ,16,00:02:26.200000
77,78,12,ダノンラスター,16,00:02:02.200000
78,79,11,カテドラル,3,00:02:02.200000
79,80,10,カイザースクルーン,46,00:02:02.100000
80,81,9,カフジジュピター,38,00:02:01.900000
81,82,8,クリスタルバローズ,27,00:02:01.900000
82,83,7,マードレヴォイス,21,00:02:01.900000
83,84,6,ナイママ,64,00:02:01.900000
84,85,5,リーガルメイン,12,00:02:01.700000
85,86,4,シークレットラン,32,00:02:01.600000
86,87,3,ヒンドゥタイムズ,153,00:02:01.400000
87,88,2,ランフォザローゼス,166,00:02:01.400000
88,89,1,ラストドラフト,1,00:02:01.200000
89,90,11,アクションスター,19,00:02:15
90,91,10,ミライヘノツバサ,27,00:02:15
91,92,9,マイネルミラノ,64,00:02:14.900000
92,93,8,ステイインシアトル,32,00:02:14.600000
93,94,7,ショウナンバッハ,21,00:02:14.500000
94,95,6,ダンビュライト,37,00:02:14.400000
95,96,5,サクラアンプルール,99,00:02:14.300000
96,97,4,ジェネラーレウーノ,13,00:02:14.100000
97,98,3,メートルダール,166,00:02:13.800000
98,99,2,フィエールマン,1,00:02:13.700000
99,100,1,シャケトラ,17,00:02:13.700000
100,101,13,モルトベーネ,25,00:01:54.200000
101,102,12,アンジュデジール,41,00:01:53.800000
102,103,11,マイネルバサラ,5,00:01:52.500000
103,104,10,メイショウスミトモ,72,00:01:52.200000
104,105,9,シャイニービーム,66,00:01:52
105,106,8,グレンツェント,159,00:01:52
106,107,7,カゼノコ,75,00:01:51.800000
107,108,6,アングライフェン,8,00:01:51.700000
108,109,5,アスカノロマン,86,00:01:51.700000
109,110,4,コスモカナディアン,42,00:01:51.400000
110,111,3,スマハマ,24,00:01:51.200000
111,112,2,チュウワウィザード,2,00:01:50.100000
112,113,1,インティ,20,00:01:49.800000
113,114,14,キンショーユキヒメ,5,00:02:01.700000
114,115,13,ヤマニンエルフィン,63,00:02:01.300000
115,116,12,エテルナミノル,164,00:02:01.200000
116,117,11,ティーエスクライ,113,00:02:01.100000
117,118,10,スカーレットカラー,8,00:02:00.900000
118,119,9,ウスベニノキミ,28,00:02:00.700000
119,120,8,レイズアベール,100,00:02:00.700000
120,121,7,レイホーロマンス,25,00:02:00.500000
